Precio,Terreno,Construccion,Recas,Banhos,Estacionamientos,Medios Banhos,Antiguedad,Ubicacion,Colonia,Delegacion,Indice
14.36,150,150,3,2,1,-6,-7,"Bosques de Tarango, Alvaro Obregón",Bosques de Tarango, Alvaro Obregón,1
1.49,118,80,3,1,2,0,30,"1° de Mayo, Venustiano Carranza",1° de Mayo, Venustiano Carranza,2
2.91,133,130,3,1,1,0,40,"1° de Mayo, Venustiano Carranza",1° de Mayo, Venustiano Carranza,3
1.49,118,150,3,2,2,0,1,"1° de Mayo, Venustiano Carranza",1° de Mayo, Venustiano Carranza,4
4.5,160,225,3,2,3,1,0,"15 de Agosto, Gustavo A. Madero",15 de Agosto, Gustavo A. Madero,5
3.1,190,190,4,4,2,1,25,"15 de Agosto, Gustavo A. Madero",15 de Agosto, Gustavo A. Madero,6
1.17,105,125,3,2,1,1,0,"19 de Mayo, Alvaro Obregón",19 de Mayo, Alvaro Obregón,7
1.53,122,150,2,2,2,1,0,"19 de Mayo, Alvaro Obregón",19 de Mayo, Alvaro Obregón,8
1.73,158,140,3,0,2,0,0,"1a Victoria, Alvaro Obregón",1a Victoria, Alvaro Obregón,9
2.28,148,148,3,2,2,1,0,"20 de Agosto, Coyoacán",20 de Agosto, Coyoacán,10
1.48,100,100,3,2,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,11
0.59,70,70,3,1,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,12
4.25,147,294,2,1,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,13
2.06,123,259,3,3,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,14
2.06,146,180,3,2,1,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,15
2,142,142,2,1,2,-6,50,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,16
2.06,270,270,5,2,2,0,20,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,17
3.5,150,251,6,2,2,-6,40,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,18
2.95,146,250,5,5,-5,-6,-7,"20 de Noviembre, Venustiano Carranza",20 de Noviembre, Venustiano Carranza,19
2.52,200,200,4,2,-5,-6,-7,"25 de Julio, Gustavo A. Madero",25 de Julio, Gustavo A. Madero,20
4.5,160,225,3,2,3,1,0,"25 de Julio, Gustavo A. Madero",25 de Julio, Gustavo A. Madero,21
0.35,150,315,3,1,-5,-6,-7,"25 de Julio, Gustavo A. Madero",25 de Julio, Gustavo A. Madero,22
3.19,120,185,3,1,2,1,28,"2o Reacomodo Tlacuitlapa, Alvaro Obregón",2o Reacomodo Tlacuitlapa, Alvaro Obregón,23
9.98,210,429,-3,4,-5,-6,-7,"4 Arboles, Venustiano Carranza",4 Arboles, Venustiano Carranza,24
4.9,208,-2,7,5,3,0,20,"5 de Mayo, Miguel Hidalgo",5 de Mayo, Miguel Hidalgo,25
2.47,118,150,3,2,2,-6,-7,"7 de Julio, Venustiano Carranza",7 de Julio, Venustiano Carranza,26
4.25,119,212,7,3,1,1,35,"7 de Julio, Venustiano Carranza",7 de Julio, Venustiano Carranza,27
4.85,210,210,2,1,3,-6,40,"7 de Noviembre, Gustavo A. Madero",7 de Noviembre, Gustavo A. Madero,28
8.72,-2,240,3,3,2,1,0,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,29
11.5,374,373,3,2,2,1,0,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,30
4.5,144,175,3,2,2,1,15,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,31
7.5,135,233,3,3,2,1,0,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,32
10.5,188,264,3,3,3,1,12,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,33
5.45,225,225,3,3,3,1,5,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,34
7.62,-2,220,2,2,2,1,0,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,35
9.7,190,264,3,3,2,1,12,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,36
8.89,-2,253,3,3,2,1,0,"Abdias Garcia Soto, Cuajimalpa de Morelos",Abdias Garcia Soto, Cuajimalpa de Morelos,37
5.04,252,306,3,4,2,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,38
15.5,318,327,4,3,3,1,0,"Acacias, Benito Juárez",Acacias, Benito Juárez,39
5.04,252,306,3,3,2,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,40
12.62,-2,-2,-3,-4,-5,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,41
5.04,252,303,3,4,2,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,42
26,493,471,6,5,8,2,30,"Acacias, Benito Juárez",Acacias, Benito Juárez,43
15.5,270,400,3,2,4,1,0,"Acacias, Benito Juárez",Acacias, Benito Juárez,44
6.79,-2,167,3,2,1,1,0,"Acacias, Benito Juárez",Acacias, Benito Juárez,45
15.5,209,505,3,2,4,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,46
5.04,252,306,3,4,2,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,47
14.5,-2,408,0,4,5,2,35,"Acacias, Benito Juárez",Acacias, Benito Juárez,48
5.04,252,306,3,4,2,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,49
4.71,207,320,3,3,-5,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,50
11.2,282,225,3,2,0,1,0,"Acacias, Benito Juárez",Acacias, Benito Juárez,51
12.9,198,328,3,3,2,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,52
5.04,252,306,3,4,2,-6,-7,"Acacias, Benito Juárez",Acacias, Benito Juárez,53
6.8,166,166,3,2,2,0,45,"Acacias, Benito Juárez",Acacias, Benito Juárez,54
11.2,277,225,3,2,2,1,40,"Acacias, Benito Juárez",Acacias, Benito Juárez,55
11.2,281,225,3,2,2,1,45,"Acacias, Benito Juárez",Acacias, Benito Juárez,56
8.9,160,202,3,2,2,1,10,"Actipan, Benito Juárez",Actipan, Benito Juárez,57
16,240,300,6,3,0,3,0,"Actipan, Benito Juárez",Actipan, Benito Juárez,58
4.7,120,250,3,3,1,-6,23,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,59
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,60
1.26,99,150,-3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,61
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,62
1.19,80,200,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,63
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,64
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,65
0.7,45,40,2,1,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,66
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,67
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,68
0.57,140,220,3,3,2,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,69
3.75,160,260,5,4,3,1,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,70
0.68,62,33,2,1,1,-6,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,71
1.19,80,200,3,1,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,72
1.26,99,172,3,2,0,1,25,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,73
1.2,110,120,0,2,3,1,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,74
1.12,150,120,3,2,2,0,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,75
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,76
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,77
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,78
8.35,460,260,4,4,3,1,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,79
1.12,250,120,4,2,1,1,12,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,80
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,81
2.28,225,126,4,3,3,1,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,82
2.7,250,235,4,4,2,1,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,83
1.93,200,210,4,3,2,1,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,84
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,85
4.4,160,350,5,3,2,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,86
1.33,62,33,2,1,1,-6,0,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,87
1.33,62,33,2,1,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,88
1.33,62,62,2,1,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,89
1.12,150,120,3,2,2,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,90
2.93,164,200,3,1,1,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,91
2.5,212,160,3,2,1,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,92
1.57,120,252,3,2,2,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,93
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,94
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,95
1.26,99,150,3,2,-5,-6,-7,"Acueducto de Guadalupe, Gustavo A. Madero",Acueducto de Guadalupe, Gustavo A. Madero,96
3,75,120,4,2,1,-6,30,"Aculco, Iztapalapa",Aculco, Iztapalapa,97
1.06,200,138,3,2,1,0,26,"Aculco, Iztapalapa",Aculco, Iztapalapa,98
4.15,240,345,4,3,8,1,40,"Adolfo López Mateos, Venustiano Carranza",Adolfo López Mateos, Venustiano Carranza,99
2.3,160,264,-3,1,1,-6,-7,"Adolfo López Mateos, Venustiano Carranza",Adolfo López Mateos, Venustiano Carranza,100
9,280,360,3,3,3,1,0,"Adolfo López Mateos, Cuajimalpa de Morelos",Adolfo López Mateos, Cuajimalpa de Morelos,101
3.1,217,300,6,6,4,0,30,"Adolfo López Mateos, Cuajimalpa de Morelos",Adolfo López Mateos, Cuajimalpa de Morelos,102
4.17,163,321,7,5,-5,3,26,"Adolfo Ruiz Cortines, Coyoacán",Adolfo Ruiz Cortines, Coyoacán,103
3.76,-2,220,-3,1,1,-6,1,"Adolfo Ruiz Cortines, Coyoacán",Adolfo Ruiz Cortines, Coyoacán,104
3.25,200,200,3,2,-5,-6,-7,"Adolfo Ruiz Cortines, Coyoacán",Adolfo Ruiz Cortines, Coyoacán,105
2.8,118,139,3,2,3,0,25,"Adolfo Ruiz Cortines, Coyoacán",Adolfo Ruiz Cortines, Coyoacán,106
1.4,190,100,2,1,3,-6,0,"Agrícola Metropolitana, Tláhuac",Agrícola Metropolitana, Tláhuac,107
41.93,-2,200,6,4,2,-6,0,"Agrícola Metropolitana, Tláhuac",Agrícola Metropolitana, Tláhuac,108
4,160,200,4,4,0,1,20,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,109
2.51,200,150,2,1,1,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,110
2.51,200,150,3,2,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,111
1.16,170,150,3,2,1,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,112
2.51,169,230,4,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,113
2.7,169,220,3,2,1,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,114
2.51,249,163,3,2,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,115
12.3,642,259,4,3,20,1,14,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,116
2.33,162,389,3,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,117
2.51,169,230,4,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,118
1.23,102,100,3,1,1,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,119
2.51,169,230,4,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,120
2,127,250,4,3,1,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,121
2.35,162,162,4,2,2,0,15,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,122
0.73,295,380,3,1,1,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,123
3.8,152,307,6,3,2,3,20,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,124
0.84,600,600,4,4,2,1,18,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,125
0.82,250,250,4,2,2,0,11,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,126
3.8,158,307,6,3,2,2,30,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,127
2.39,150,130,2,2,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,128
2.4,188,350,3,1,4,3,35,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,129
2.39,120,120,2,1,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,130
2.51,200,150,3,2,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,131
1.3,246,246,3,2,2,0,28,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,132
2.51,169,230,4,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,133
5.3,217,473,4,2,3,-6,20,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,134
2.51,169,230,4,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,135
2,150,350,3,1,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,136
7.2,230,440,4,3,5,-6,30,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,137
2,200,300,3,2,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,138
1.6,90,150,4,2,0,0,0,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,139
1.35,-2,57,0,0,0,0,3,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,140
1.45,100,100,-3,1,1,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,141
2.3,123,138,5,2,1,-6,35,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,142
4.8,213,380,-3,-4,-5,-6,38,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,143
3.9,164,270,4,2,1,1,32,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,144
2.17,169,220,4,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,145
1.17,210,300,3,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,146
0.84,295,709,4,3,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,147
2,160,172,4,2,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,148
4.5,410,240,4,4,2,1,1,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,149
1.17,210,324,3,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,150
1.49,850,65,3,1,1,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,151
2.6,100,160,4,3,-5,1,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,152
1.9,68,68,3,2,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,153
1.85,52,52,2,1,1,0,22,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,154
4.6,186,260,5,5,5,0,25,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,155
2.51,169,230,4,3,2,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,156
2.51,169,230,4,3,2,0,28,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,157
4.05,160,269,5,3,3,-6,20,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,158
3.19,260,190,4,3,3,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,159
0.74,75,75,3,1,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,160
3.6,154,279,5,4,3,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,161
5.3,536,536,5,3,6,5,13,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,162
4.45,259,-2,5,2,6,0,47,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,163
2,160,310,3,2,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,164
2.51,170,165,2,2,-5,-6,-7,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,165
4.65,180,240,3,3,3,0,9,"Agrícola Oriental, Iztacalco",Agrícola Oriental, Iztacalco,166
1.9,90,90,4,1,3,-6,-7,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,167
7.5,230,430,9,3,4,-6,30,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,168
2.45,106,88,3,1,3,1,20,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,169
1.9,90,90,3,2,2,0,25,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,170
2.5,86,166,4,3,5,-6,25,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,171
3.8,240,273,4,2,2,0,1,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,172
4,154,154,6,5,2,5,30,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,173
4,154,154,6,5,2,4,40,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,174
2.46,2475,5940,-3,1,4,-6,-7,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,175
0.71,120,240,3,3,1,-6,-7,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,176
0.71,112,80,3,2,-5,-6,-7,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,177
2.6,205,314,6,5,8,-6,45,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,178
4,154,154,5,5,2,5,20,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,179
1.9,91,90,4,1,3,0,35,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,180
1.9,-2,68,3,2,0,0,31,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,181
3.1,100,100,3,2,1,0,5,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,182
2.45,80,106,3,2,3,-6,-7,"Agrícola Pantitlan, Iztacalco",Agrícola Pantitlan, Iztacalco,183
6,150,220,3,3,3,1,0,"Ahuatenco, Cuajimalpa de Morelos",Ahuatenco, Cuajimalpa de Morelos,184
6,145,220,3,3,3,1,0,"Ahuatenco, Cuajimalpa de Morelos",Ahuatenco, Cuajimalpa de Morelos,185
6,150,220,3,4,3,-6,-7,"Ahuatenco, Cuajimalpa de Morelos",Ahuatenco, Cuajimalpa de Morelos,186
7.75,274,255,3,3,3,1,29,"Ahuatenco, Cuajimalpa de Morelos",Ahuatenco, Cuajimalpa de Morelos,187
5.1,130,170,3,2,2,1,0,"Ahuatenco, Cuajimalpa de Morelos",Ahuatenco, Cuajimalpa de Morelos,188
4.5,160,225,3,2,3,1,0,"Ahuehuetes, Gustavo A. Madero",Ahuehuetes, Gustavo A. Madero,189
5.3,191,313,7,5,2,-6,15,"Ahuehuetes Anahuac, Miguel Hidalgo",Ahuehuetes Anahuac, Miguel Hidalgo,190
5.9,250,310,8,5,3,-6,40,"Ahuehuetes Anahuac, Miguel Hidalgo",Ahuehuetes Anahuac, Miguel Hidalgo,191
2,161,255,5,3,1,-6,-7,"Ahuehuetes Anahuac, Miguel Hidalgo",Ahuehuetes Anahuac, Miguel Hidalgo,192
24.78,604,496,3,3,3,1,12,"Ahuehuetes Anahuac, Miguel Hidalgo",Ahuehuetes Anahuac, Miguel Hidalgo,193
3,130,260,3,2,2,-6,-7,"Ajusco, Coyoacán",Ajusco, Coyoacán,194
5,434,150,3,4,6,-6,-7,"Ajusco, Coyoacán",Ajusco, Coyoacán,195
6.2,287,350,5,3,5,0,30,"Ajusco, Coyoacán",Ajusco, Coyoacán,196
0.77,200,300,4,2,-5,-6,-7,"Ajusco, Coyoacán",Ajusco, Coyoacán,197
9.8,563,350,5,4,2,0,35,"Ajusco, Coyoacán",Ajusco, Coyoacán,198
5.2,250,200,4,2,2,0,0,"Ajusco, Coyoacán",Ajusco, Coyoacán,199
0.77,301,300,3,2,1,-6,-7,"Ajusco, Coyoacán",Ajusco, Coyoacán,200
12.5,285,150,0,0,0,0,50,"Ajusco, Coyoacán",Ajusco, Coyoacán,201
0.72,90,110,3,2,2,-6,-7,"Ajusco, Coyoacán",Ajusco, Coyoacán,202
4.4,325,200,4,2,4,1,20,"Ajusco, Coyoacán",Ajusco, Coyoacán,203
0.77,200,300,4,2,2,-6,-7,"Ajusco, Coyoacán",Ajusco, Coyoacán,204
6.5,193,193,4,3,2,1,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,205
2.51,70,124,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,206
2.51,70,124,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,207
5.9,134,285,3,3,2,1,40,"Alamos, Benito Juárez",Alamos, Benito Juárez,208
2.51,70,124,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,209
5.8,126,257,4,3,1,0,70,"Alamos, Benito Juárez",Alamos, Benito Juárez,210
6.01,165,123,3,2,2,1,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,211
6.75,-2,183,3,3,2,2,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,212
2.51,70,124,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,213
7.7,229,157,3,3,2,0,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,214
4.89,178,180,3,2,2,1,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,215
6.01,-2,-2,-3,-4,-5,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,216
2.51,70,124,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,217
0.95,-2,77,2,1,1,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,218
5.95,122,122,3,2,2,1,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,219
2.51,70,124,3,1,2,1,7,"Alamos, Benito Juárez",Alamos, Benito Juárez,220
10.89,338,300,3,2,2,1,35,"Alamos, Benito Juárez",Alamos, Benito Juárez,221
0.96,252,280,4,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,222
5.85,197,136,4,2,1,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,223
2.51,70,124,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,224
6.17,160,160,3,2,2,-6,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,225
2.51,70,124,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,226
11,420,650,3,3,4,1,44,"Alamos, Benito Juárez",Alamos, Benito Juárez,227
2.65,50,100,3,1,-5,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,228
2.45,124,124,3,3,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,229
7,186,-2,3,2,2,2,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,230
5.95,-2,123,3,2,2,1,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,231
2.51,70,124,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,232
2.51,70,134,3,2,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,233
6.44,-2,122,3,2,2,1,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,234
5.99,167,122,3,2,2,1,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,235
7.08,100,230,3,3,2,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,236
12.56,400,400,4,2,-5,-6,-7,"Alamos, Benito Juárez",Alamos, Benito Juárez,237
6.01,155,123,3,2,2,1,0,"Alamos, Benito Juárez",Alamos, Benito Juárez,238
